Name,Country/See,Role_Office,Date_of_Birth,Age,Background
Pietro Parolin,Italy,Secretary of State of His Holiness,17 January 1955,70,"Cardinal Pietro Parolin, born in 1955 in Italy, is the Vatican Secretary of State and a leading figure in the Catholic Church's diplomacy. He was ordained in 1980 and entered the Holy See’s diplomatic service in 1986, serving in various countries and as Undersecretary for Relations with States. Known for his pragmatic, conciliatory approach, Parolin emphasizes dialogue, international cooperation, and peaceful resolution of conflicts. He supports Pope Francis's reforms and priorities, including social justice, care for migrants, and climate action, while upholding traditional Catholic teachings. Parolin is considered a skilled negotiator and a key architect of Vatican agreements with China and other countries."
Fernando Filoni,Italy,Grand Master of the Order of the Holy Sepulchre,15 April 1946,79,"Cardinal Fernando Filoni is an Italian prelate of the Catholic Church, born in 1946, who has held several significant diplomatic and administrative roles within the Vatican. He served as Apostolic Nuncio to Iraq and Jordan during the Iraq War, demonstrating notable dedication to the local Christian community. Later, he became Prefect of the Congregation for the Evangelization of Peoples, overseeing global missionary activity. Known for his strong commitment to church diplomacy and missionary outreach, Filoni is regarded as a pragmatic and faithful defender of traditional Catholic teaching, while actively supporting dialogue with other religions and cultures, particularly in challenging contexts such as China and the Middle East."
Luis Antonio Tagle,Philippines,Pro-Prefect of the Dicastery for Evangelization,21 June 1957,67,"Cardinal Luis Antonio Tagle is a Filipino prelate of the Roman Catholic Church, born in 1957 in Manila. He served as Archbishop of Manila from 2011 to 2019 before being appointed Prefect of the Congregation for the Evangelization of Peoples in the Vatican. Known for his humble lifestyle, strong pastoral presence, and deep theological insights, Tagle advocates for social justice, care for the poor, and a more compassionate, listening Church. He supports Pope Francis' vision of a Church that goes to the peripheries, emphasizing inclusivity and dialogue, particularly on issues affecting marginalized communities. His progressive approach and ability to communicate effectively with diverse audiences have made him a prominent figure in the global Catholic Church."
Robert Francis Prevost OSA,United States,Prefect of the Dicastery for Bishops,14 September 1955,69,"Cardinal Robert Francis Prevost, OSA, is an American-born prelate of the Catholic Church and a member of the Order of Saint Augustine. Born in Chicago in 1955, he joined the Augustinians and was ordained a priest in 1982. Prevost has significant missionary experience in Peru and later served as Prior General of the Augustinian order from 2001 to 2013. In 2014, he was appointed Bishop of Chiclayo, Peru, and in 2023, Pope Francis named him Prefect of the Dicastery for Bishops, making him a key figure in episcopal appointments worldwide. Known for his emphasis on humility, discernment, and pastoral care, Prevost broadly aligns with Pope Francis’s vision for a more synodal, inclusive, and missionary Church."
Louis Raphaël I Sako,Iraq,Patriarch of Baghdad ( Chaldean Church ),4 July 1948,76,"Cardinal Louis Raphaël I Sako is the Patriarch of Babylon of the Chaldeans and head of the Chaldean Catholic Church, an Eastern Catholic church in full communion with Rome. Born in Iraq in 1948, Sako has served as a leading figure for the Chaldean Christian community, especially amid significant persecution and displacement following the 2003 Iraq War and the rise of ISIS. He is recognized for advocating interfaith dialogue, national unity, and the protection of Iraq’s Christian minority, often voicing concerns about their declining numbers and political marginalization. Cardinal Sako promotes reconciliation among Iraq’s various religious and ethnic groups, emphasizing the importance of peace, coexistence, and religious freedom."
Vinko Puljić,Bosnia and Herzegovina,Archbishop emeritus of Vrhbosna,8 September 1945,79,"Cardinal Vinko Puljić is a Bosnian Roman Catholic prelate who served as the Archbishop of Vrhbosna (Sarajevo) from 1990 to 2022 and was made a cardinal by Pope John Paul II in 1994. Born in 1945 in Bosnia and Herzegovina, Puljić is known for his efforts to promote interreligious dialogue and peace during and after the Bosnian War, advocating for the rights of Catholics and other minorities in a country marked by ethnic and religious divisions. He has consistently spoken out against nationalism, discrimination, and violence, emphasizing reconciliation, coexistence, and the importance of religious freedom in the Balkan region."
Peter Turkson,Ghana,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,11 October 1948,76,"Cardinal Peter Turkson, born in Ghana in 1948, is a prominent Catholic leader known for his deep commitment to social justice, interfaith dialogue, and environmental issues. Appointed as cardinal by Pope John Paul II in 2003, Turkson served as the president of the Pontifical Council for Justice and Peace and later as the first prefect of the Dicastery for Promoting Integral Human Development under Pope Francis. He is recognized for his strong advocacy for the poor, his critique of global economic inequalities, and his support for climate action, notably contributing to Pope Francis’s encyclical *Laudato si’*. Turkson emphasizes the moral dimensions of economic, social, and environmental challenges, calling for solidarity, care for creation, and respect for human dignity worldwide."
Josip Bozanić,Croatia,Archbishop emeritus of Zagreb,20 March 1949,76,"Cardinal Josip Bozanić is a Croatian Roman Catholic prelate who has served as the Archbishop of Zagreb since 1997 and was elevated to the cardinalate by Pope John Paul II in 2003. Known for his conservative stance on social issues, Bozanić is a vocal advocate of traditional Catholic values, emphasizing the importance of family, religious education, and opposition to abortion and same-sex marriage. He has played a significant role in public debates in Croatia, often encouraging dialogue between church and state while maintaining the church’s moral positions. Bozanić is also recognized for his efforts in promoting reconciliation and unity in Croatia following the tumultuous 1990s."
Philippe Barbarin,France,Archbishop emeritus of Lyon,17 October 1950,74,"Cardinal Philippe Barbarin is a French Roman Catholic prelate, born in 1950, who served as the Archbishop of Lyon from 2002 to 2020. Known for his conservative theological views, he has been a vocal defender of traditional Catholic teachings on issues such as marriage and sexuality, notably opposing the legalization of same-sex marriage in France. Barbarin's tenure was marred by controversy due to his handling of sexual abuse cases within the Church, particularly his delayed response to allegations against a priest in his diocese, which led to his conviction (later overturned on appeal) for failing to report abuse. Despite these controversies, he remains influential in French Catholic circles for his doctrinal orthodoxy and advocacy for interfaith dialogue, particularly with the Jewish and Muslim communities."
Péter Erdő,Hungary,Archbishop of Esztergom–Budapest,25 June 1952,72,"Cardinal Péter Erdő is a Hungarian Roman Catholic prelate and theologian, born in 1952, who has served as the Archbishop of Esztergom-Budapest and Primate of Hungary since 2003. Holding doctorates in theology and canon law, Erdő is known for his scholarly background and leadership roles within the Church, including serving as President of the Council of European Bishops' Conferences. While considered doctrinally conservative, Erdő is noted for his pastoral sensitivity and pragmatic approach, advocating for dialogue within Europe and promoting the relevance of Christian values in a secular society. He is also recognized for his emphasis on traditional Catholic teachings, particularly regarding family and social issues, while remaining open to synodal discussions and greater engagement with contemporary challenges facing the Church."
Stanisław Ryłko,Poland,Archpriest of the Papal Basilica of Saint Mary Major,4 July 1945,79,"Cardinal Stanisław Ryłko is a Polish prelate of the Catholic Church, born in 1945, who has played a prominent role in promoting lay participation within the Church. He was appointed president of the Pontifical Council for the Laity from 2003 until its merger into the Dicastery for the Laity, Family, and Life in 2016. Known for his strong advocacy of traditional Catholic values, Ryłko emphasizes the importance of Christian formation, the family, and a vibrant lay apostolate in the face of secularism. He upholds the Church’s teachings on moral and social issues and encourages Catholics to actively witness their faith in contemporary society."
Francisco Robles Ortega,Mexico,Archbishop of Guadalajara,2 March 1949,76,"Cardinal Francisco Robles Ortega is a Mexican prelate of the Catholic Church, born in 1949 in Mascota, Jalisco. He was ordained a priest in 1976, later becoming Bishop of Toluca, Archbishop of Monterrey, and since 2011, Archbishop of Guadalajara. Created cardinal by Pope Benedict XVI in 2007, Robles Ortega is known for his pastoral focus, advocacy for social justice, and defense of migrants’ rights. He has expressed concerns about violence, corruption, and inequality in Mexico, calling for dialogue and ethical leadership. Orthodox in doctrine, he supports traditional Catholic teachings but is recognized for his pragmatic approach to social issues facing the Mexican Church."
Daniel DiNardo,United States,Archbishop emeritus of Galveston–Houston,23 May 1949,75,"Cardinal Daniel DiNardo is an American prelate of the Catholic Church, serving as the Archbishop of Galveston-Houston since 2006 and elevated to cardinal in 2007 by Pope Benedict XVI. Known for his pastoral approach and commitment to social justice, DiNardo has advocated for immigration reform, pro-life issues, and the protection of religious liberty. He has also faced criticism for his handling of clergy sexual abuse cases but has voiced support for stronger accountability and transparency in the Church. As former president of the U.S. Conference of Catholic Bishops (2016–2019), DiNardo played a key role in representing Catholic viewpoints on national policy and moral issues."
Odilo Scherer,Brazil,Archbishop of São Paulo,21 September 1949,75,"Cardinal Odilo Scherer is a Brazilian prelate of the Roman Catholic Church, serving as the Archbishop of São Paulo since 2007. Born in 1949 in Cerro Largo, Brazil, he has roots in German immigrant families and was ordained a priest in 1976. Scherer is noted for his moderate, pragmatic approach within the Church, balancing social justice concerns with doctrinal orthodoxy. He has been vocal about tackling corruption, poverty, and violence in Brazil, emphasizing the Church's role in addressing social issues. Generally considered a centrist, Scherer supports dialogue within the Church and society while upholding Church teachings on life and family."
